Country,Reference area,Frequency of observation,Measure,AGE,Age,SEX,Sex,Unit of measure,Measurement method,Year,Time period,Daily_Smokers_Percentage,Observation value,Observation status,Unit multiplier,Decimals,Cluster
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,8.7,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,7.6,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,7.9,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,8.3,,Normal value,Units,,0
CHL,Chile,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,20.9,,Normal value,Units,,0
CHL,Chile,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,17.5,,Normal value,Units,,0
CRI,Costa Rica,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,9.3,,Normal value,Units,,0
CRI,Costa Rica,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,8.4,,Normal value,Units,,0
CRI,Costa Rica,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,7.5,,Normal value,Units,,0
CRI,Costa Rica,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,6.6,,Normal value,Units,,0
CRI,Costa Rica,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,5.8,,Normal value,Units,,0
CRI,Costa Rica,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,5.8,,Normal value,Units,,0
CRI,Costa Rica,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,2.3,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,16.5,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,18.8,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,19.6,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,17.4,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,18.5,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,14.8,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,15.6,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,14.5,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,17.9,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,15.2,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,12.2,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,13.3,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,12.0,,Normal value,Units,,0
CZE,Czechia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,11.9,,Normal value,Units,,0
DNK,Denmark,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,15.5,,Normal value,Units,,2
DNK,Denmark,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,15.4,,Normal value,Units,,2
DNK,Denmark,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,12.7,,Normal value,Units,,2
DNK,Denmark,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,10.5,,Normal value,Units,,2
DNK,Denmark,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2024,,10.0,,Normal value,Units,,2
EST,Estonia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,18.7,,Normal value,Units,,0
EST,Estonia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,18.3,,Normal value,Units,,0
EST,Estonia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,15.8,,Normal value,Units,,0
EST,Estonia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,15.5,,Normal value,Units,,0
EST,Estonia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,12.9,,Normal value,Units,,0
EST,Estonia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,12.6,,Normal value,Units,,0
EST,Estonia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,12.1,,Normal value,Units,,0
EST,Estonia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2024,,9.7,,Normal value,Units,,0
FIN,Finland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,15.7,,Normal value,Units,,0
FIN,Finland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,14.8,,Normal value,Units,,0
FIN,Finland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,14.0,,Normal value,Units,,0
FIN,Finland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,13.2,,Normal value,Units,,0
FIN,Finland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,14.0,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,26.6,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,24.4,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,25.8,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,26.0,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,24.2,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,22.9,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,20.7,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,22.0,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,23.0,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,21.7,,Normal value,Units,,0
FRA,France,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,20.9,,Normal value,Units,,0
DEU,Germany,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,17.1,,Normal value,Units,,1
DEU,Germany,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,15.3,,Normal value,Units,,1
DEU,Germany,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,11.8,,Normal value,Units,,1
GRC,Greece,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,21.4,,Normal value,Units,,1
GRC,Greece,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,19.0,,Normal value,Units,,1
HUN,Hungary,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,20.8,,Normal value,Units,,1
HUN,Hungary,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,22.3,,Normal value,Units,,1
ISL,Iceland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,13.9,,Normal value,Units,,0
ISL,Iceland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,14.2,,Normal value,Units,,0
ISL,Iceland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,12.8,,Normal value,Units,,0
ISL,Iceland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,12.1,,Normal value,Units,,0
IRL,Ireland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,17.0,,Normal value,Units,,2
IRL,Ireland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,17.0,,Normal value,Units,,2
IRL,Ireland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,15.0,,Normal value,Units,,2
IRL,Ireland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,12.0,,Normal value,Units,,2
IRL,Ireland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,14.0,,Normal value,Units,,2
IRL,Ireland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,12.0,,Normal value,Units,,2
IRL,Ireland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,12.0,,Normal value,Units,,2
IRL,Ireland,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2024,,12.0,,Normal value,Units,,2
ISR,Israel,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,12.6,,Normal value,Units,,2
ISR,Israel,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,10.8,,Normal value,Units,,2
ISR,Israel,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,11.4,,Normal value,Units,,2
ISR,Israel,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,12.8,,Normal value,Units,,2
ISR,Israel,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,11.4,,Normal value,Units,,2
ISR,Israel,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,9.1,,Normal value,Units,,2
ISR,Israel,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2024,,12.8,,Normal value,Units,,2
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,17.1,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,16.8,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,16.5,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,15.9,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,14.9,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,15.8,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,15.3,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,15.0,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,15.1,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,14.9,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,15.4,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,15.5,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,15.8,,Normal value,Units,,0
ITA,Italy,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,15.8,,Normal value,Units,,0
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,8.4,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,9.7,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,9.0,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,8.2,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,8.5,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,7.9,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,8.2,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,7.2,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,8.1,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,7.6,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,6.2,,Normal value,Units,,2
JPN,Japan,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,6.9,,Normal value,Units,,2
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,5.2,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,5.1,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,5.8,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,4.3,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,4.0,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,3.4,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,4.1,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,3.5,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,4.5,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,4.4,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,3.9,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,4.5,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,3.7,,Normal value,Units,,0
KOR,Korea,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,3.8,,Normal value,Units,,0
LVA,Latvia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,14.6,,Normal value,Units,,0
LVA,Latvia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,12.3,,Normal value,Units,,0
LTU,Lithuania,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,9.2,,Normal value,Units,,0
LTU,Lithuania,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,9.7,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,15.7,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,15.5,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,15.2,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,13.9,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,13.7,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,13.9,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,12.6,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,14.0,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,13.4,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,16.0,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,16.1,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,17.4,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,19.4,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,17.1,,Normal value,Units,,0
LUX,Luxembourg,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2024,,13.5,,Normal value,Units,,0
MEX,Mexico,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,3.6,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,18.3,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,16.3,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,16.3,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,16.9,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,15.2,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,14.1,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,13.4,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,13.1,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,13.1,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,11.9,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,10.5,,Normal value,Units,,0
NLD,Netherlands,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2023,,10.9,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,15.9,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,15.2,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,14.4,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2015,,14.0,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,13.1,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,12.8,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,12.2,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,11.5,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2020,,11.3,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2021,,9.2,,Normal value,Units,,0
NZL,New Zealand,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,8.0,,Normal value,Units,,0
